% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
142	3	2	1	0	28	749	0	1	2
142	3	3	2	0	28	749	0	1	2
142	3	1	3	0	28	749	0	1	2
143	1	1	3	0	28	749	0	1	0
143	1	2	1	0	28	749	0	1	0
143	1	3	2	0	28	749	0	1	0
143	2	2	1	0	28	749	0	1	1
143	2	3	2	0	28	749	0	1	1
143	2	1	3	0	28	749	0	1	1
143	3	2	1	0	28	749	0	1	2
143	3	3	2	0	28	749	0	1	2
143	3	1	3	0	28	749	0	1	2
144	1	1	3	0	28	749	0	1	0
144	1	2	1	0	28	749	0	1	0
144	1	3	2	0	28	749	0	1	0
144	2	2	1	0	28	749	0	1	1
144	2	3	2	0	28	749	0	1	1
144	2	1	3	0	28	749	0	1	1
144	3	2	1	0	28	749	0	1	2
144	3	3	2	0	28	749	0	1	2
144	3	1	3	0	28	749	0	1	2
145	1	1	3	0	28	749	0	1	0
145	1	2	1	0	28	749	0	1	0
145	1	3	2	0	28	749	0	1	0
145	2	2	1	0	28	749	0	1	1
145	2	3	2	0	28	749	0	1	1
145	2	1	3	0	28	749	0	1	1
145	3	2	1	0	28	749	0	1	2
145	3	3	2	0	28	749	0	1	2
145	3	1	3	0	28	749	0	1	2
146	1	1	3	0	28	749	0	1	0
146	1	2	1	0	28	749	0	1	0
146	1	3	2	0	28	749	0	1	0
146	2	2	1	0	28	749	0	1	1
146	2	3	2	0	28	749	0	1	1
146	2	1	3	0	28	749	0	1	1
146	3	2	1	0	28	749	0	1	2
146	3	3	2	0	28	749	0	1	2
146	3	1	3	0	28	749	0	1	2
147	1	1	3	0	28	749	0	1	0
147	1	2	1	0	28	749	0	1	0
147	1	3	2	0	28	749	0	1	0
147	2	2	1	0	28	749	0	1	1
147	2	3	2	0	28	749	0	1	1
147	2	1	3	0	28	749	0	1	1
147	3	2	1	0	28	749	0	1	2
147	3	3	2	0	28	749	0	1	2
147	3	1	3	0	28	749	0	1	2
148	1	1	3	0	28	749	0	1	0
148	1	2	1	0	28	749	0	1	0
148	1	3	2	0	28	749	0	1	0
148	2	2	1	0	28	749	0	1	1
148	2	3	2	0	28	749	0	1	1
148	2	1	3	0	28	749	0	1	1
148	3	2	1	0	28	749	0	1	2
148	3	3	2	0	28	749	0	1	2
148	3	1	3	0	28	749	0	1	2
149	1	1	3	0	28	749	0	1	0
149	1	2	1	0	28	749	0	1	0
149	1	3	2	0	28	749	0	1	0
149	2	2	1	0	28	749	0	1	1
149	2	3	2	0	28	749	0	1	1
149	2	1	3	0	28	749	0	1	1
149	3	2	1	0	28	749	0	1	2
149	3	3	2	0	28	749	0	1	2
149	3	1	3	0	28	749	0	1	2
150	1	1	3	0	28	749	0	1	0
150	1	2	1	0	28	749	0	1	0
150	1	3	2	0	28	749	0	1	0
150	2	2	1	0	28	749	0	1	1
150	2	3	2	0	28	749	0	1	1
150	2	1	3	0	28	749	0	1	1
150	3	2	1	0	28	749	0	1	2
150	3	3	2	0	28	749	0	1	2
150	3	1	3	0	28	749	0	1	2
151	1	1	3	0	28	749	0	1	0
151	1	2	1	0	28	749	0	1	0
151	1	3	2	0	28	749	0	1	0
151	2	2	1	0	28	749	0	1	1
151	2	3	2	0	28	749	0	1	1
151	2	1	3	0	28	749	0	1	1
151	3	2	1	0	28	749	0	1	2
151	3	3	2	0	28	749	0	1	2
151	3	1	3	0	28	749	0	1	2
152	1	1	3	0	28	749	0	1	0
152	1	2	1	0	28	749	0	1	0
152	1	3	2	0	28	749	0	1	0
152	2	2	1	0	28	749	0	1	1
152	2	3	2	0	28	749	0	1	1
152	2	1	3	0	28	749	0	1	1
152	3	2	1	0	28	749	0	1	2
152	3	3	2	0	28	749	0	1	2
152	3	1	3	0	28	749	0	1	2
153	1	1	3	0	28	749	0	1	0
153	1	2	1	0	28	749	0	1	0
153	1	3	2	0	28	749	0	1	0
153	2	2	1	0	28	749	0	1	1
153	2	3	2	0	28	749	0	1	1
153	2	1	3	0	28	749	0	1	1
153	3	2	1	0	28	749	0	1	2
153	3	3	2	0	28	749	0	1	2
153	3	1	3	0	28	749	0	1	2
154	1	1	3	0	28	749	0	1	0
154	1	2	1	0	28	749	0	1	0
154	1	3	2	0	28	749	0	1	0
154	2	2	1	0	28	749	0	1	1
154	2	3	2	0	28	749	0	1	1
154	2	1	3	0	28	749	0	1	1
154	3	2	1	0	28	749	0	1	2
154	3	3	2	0	28	749	0	1	2
154	3	1	3	0	28	749	0	1	2
155	1	1	3	0	28	749	0	1	0
155	1	2	1	0	28	749	0	1	0
155	1	3	2	0	28	749	0	1	0
155	2	2	1	0	28	749	0	1	1
155	2	3	2	0	28	749	0	1	1
155	2	1	3	0	28	749	0	1	1
155	3	2	1	0	28	749	0	1	2
155	3	3	2	0	28	749	0	1	2
155	3	1	3	0	28	749	0	1	2
156	1	1	3	0	28	749	0	1	0
156	1	2	1	0	28	749	0	1	0
